probe;scans;detectors;opening;RMSE;time
SADDLE_PE;90;180;180;84.73591569583937;54.14071726799011
SADDLE_PE;180;180;180;82.78047044373659;105.44172191619873
SADDLE_PE;270;180;180;77.50119949687351;158.05095911026
SADDLE_PE;360;180;180;78.21013406431288;211.4159529209137
SADDLE_PE;450;180;180;75.08192763400284;263.4516603946686
SADDLE_PE;540;180;180;75.67549098042066;315.14303755760193
SADDLE_PE;630;180;180;74.35001640483387;367.1557228565216
SADDLE_PE;720;180;180;74.59087899910143;417.8821783065796
SADDLE_PE;180;90;180;85.94743952094147;53.37098145484924
SADDLE_PE;180;180;180;82.78047044373659;105.99224781990051
SADDLE_PE;180;270;180;79.8585931926098;156.25426030158997
SADDLE_PE;180;360;180;76.14283535779465;207.2629861831665
SADDLE_PE;180;450;180;74.69323299665558;258.29072976112366
SADDLE_PE;180;540;180;71.56169321268165;309.69385027885437
SADDLE_PE;180;630;180;69.94621149082235;372.6309702396393
SADDLE_PE;180;720;180;68.14945240766563;436.1719744205475
SADDLE_PE;180;180;45;88.71176469678934;123.56403255462646
SADDLE_PE;180;180;90;86.98697351199523;127.2265317440033
SADDLE_PE;180;180;135;84.48890805821493;124.54296898841858
SADDLE_PE;180;180;180;82.78047044373659;111.90789866447449
SADDLE_PE;180;180;225;82.76973985072871;96.24894094467163
SADDLE_PE;180;180;270;86.73208785820562;90.22618818283081
